prodcode,TermFromEMIS,class,bnf,substance,group
x10487941000033114,Diamorphine 1.6mg/dose nasal spray,,,diamorphine,other_opiates
x10487841000033118,Diamorphine 720micrograms/dose nasal spray,,,diamorphine,other_opiates
x10488041000033112,Ayendi 720micrograms/actuation nasal spray (Wockhardt UK Ltd),,,diamorphine,other_opiates
x10617041000033113,Vortioxetine 10mg tablets,,,vortioxetine,antidepressant
x10617341000033110,Brintellix 10mg tablets (Lundbeck Ltd),,,vortioxetine,antidepressant
x10617441000033116,Brintellix 20mg tablets (Lundbeck Ltd),,,vortioxetine,antidepressant
x10617141000033112,Vortioxetine 20mg tablets,,,vortioxetine,antidepressant
x10616941000033112,Vortioxetine 5mg tablets,,,vortioxetine,antidepressant
x10617241000033117,Brintellix 5mg tablets (Lundbeck Ltd),,,vortioxetine,antidepressant
x10730041000033110,Venlafaxine 225mg modified-release capsules,,,venlafaxine,antidepressant
x10730141000033114,Efexor XL 225mg capsules (Pfizer Ltd),,,venlafaxine,antidepressant
x11693641000033117,Vensir XL 225mg capsules (Morningside Healthcare Ltd),,,venlafaxine,antidepressant
x12194641000033117,Vencarm XL 225mg capsules (Aspire Pharma Ltd),,,venlafaxine,antidepressant
x11077241000033112,BuTrans 15micrograms/hour transdermal patches (Napp Pharmaceuticals Ltd),,,buprenorphine,other_opiates
x11077041000033116,Buprenorphine 15micrograms/hour transdermal patches,,,buprenorphine,other_opiates
x12106841000033113,Butec 15micrograms/hour transdermal patches (Qdem Pharmaceuticals Ltd),,,buprenorphine,other_opiates
x11732341000033117,Reletrans 15micrograms/hour transdermal patches (Sandoz Ltd),,,buprenorphine,other_opiates
x11707841000033116,Buprenorphine 16mg / Naloxone 4mg sublingual tablets sugar free,,,buprenorphine,oat
x11707941000033112,Suboxone 16mg/4mg sublingual tablets (Indivior UK Ltd),,,buprenorphine,oat
x11707441000033119,Fluoxetine 30mg capsules,,,fluoxetine,antidepressant
x11783041000033115,Tramadol 75mg / Paracetamol 650mg tablets,,,tramadol,other_opiates
x11789141000033119,Buprenorphine 2mg oral lyophilisates sugar free,,,buprenorphine,oat
x11789341000033116,Espranor 2mg oral lyophilisates (Martindale Pharmaceuticals Ltd),,,buprenorphine,oat
x11789241000033114,Buprenorphine 8mg oral lyophilisates sugar free,,,buprenorphine,oat
x11789441000033110,Espranor 8mg oral lyophilisates (Martindale Pharmaceuticals Ltd),,,buprenorphine,oat
x12292341000033116,Nortriptyline 50mg tablets,,,nortriptyline,antidepressant
x12356141000033117,Co-codamol 60mg/1000mg tablets,,,codeine,other_opiates
x12503341000033119,Lorazepam 1mg/ml oral solution sugar free,,,lorazepam,benzodiazepine
x446341000033113,Diamorphine 5mg powder for solution for injection ampoules,,,diamorphine,other_opiates
x12471641000033112,Skudexa 75mg/25mg tablets (A. Menarini Farmaceutica Internazionale SRL),,,tramadol,other_opiates
x12471541000033111,Tramadol 75mg / Dexketoprofen 25mg tablets,,,tramadol,other_opiates
x12476541000033119,Trazodone 100mg/5ml oral solution sugar free,,,trazodone,antidepressant
x336041000033115,Codeine 3mg/5ml linctus paediatric,,,codeine,other_opiates
x45841000033119,Amitriptyline 25mg modified-release capsules,,,amitriptyline,antidepressant
x819741000033117,Lentizol 25mg modified-release capsules (Pfizer Ltd),,,amitriptyline,antidepressant
x55441000033119,Amitriptyline 25mg/5ml oral solution sugar free,,,amitriptyline,antidepressant
x45941000033110,Amitriptyline 50mg modified-release capsules,,,amitriptyline,antidepressant
x819841000033110,Lentizol 50mg modified-release capsules (Pfizer Ltd),,,amitriptyline,antidepressant
x55541000033118,Amitriptyline 50mg/5ml oral solution sugar free,,,amitriptyline,antidepressant
x2922641000033116,Buprenorphine 300micrograms/1ml solution for injection ampoules,,,buprenorphine,oat
x2922741000033113,Temgesic 300micrograms/1ml solution for injection ampoules (Indivior UK Ltd),,,buprenorphine,oat
x8882741000033116,Hapoctasin 35micrograms/hour transdermal patches (Actavis UK Ltd),,,buprenorphine,other_opiates
x11484341000033112,Bupeaze 35micrograms/hour transdermal patches (Dr Reddy's Laboratories (UK) Ltd),,,buprenorphine,other_opiates
x11507941000033111,Prenotrix 35micrograms/hour transdermal patches (Genesis Pharmaceuticals Ltd),,,buprenorphine,other_opiates
x2737541000033111,Buprenorphine 35micrograms/hour transdermal patches,,,buprenorphine,other_opiates
x12603541000033117,Carlosafine 35micrograms/hour transdermal patches (Glenmark Pharmaceuticals Europe Ltd),,,buprenorphine,other_opiates
x12428441000033117,Turgeon 35micrograms/hour transdermal patches (Teva UK Ltd),,,buprenorphine,other_opiates
x12194941000033112,Relevtec 35micrograms/hour transdermal patches (Sandoz Ltd),,,buprenorphine,other_opiates
x11780641000033117,Buplast 35micrograms/hour transdermal patches (Mylan),,,buprenorphine,other_opiates
x2737841000033113,Transtec 35micrograms/hour transdermal patches (Napp Pharmaceuticals Ltd),,,buprenorphine,other_opiates
x11577141000033119,Prenotrix 52.5micrograms/hour transdermal patches (Genesis Pharmaceuticals Ltd),,,buprenorphine,other_opiates
x11484441000033118,Bupeaze 52.5micrograms/hour transdermal patches (Dr Reddy's Laboratories (UK) Ltd),,,buprenorphine,other_opiates
x8882841000033114,Hapoctasin 52.5micrograms/hour transdermal patches (Actavis UK Ltd),,,buprenorphine,other_opiates
x12195041000033112,Relevtec 52.5micrograms/hour transdermal patches (Sandoz Ltd),,,buprenorphine,other_opiates
x11780741000033114,Buplast 52.5micrograms/hour transdermal patches (Mylan),,,buprenorphine,other_opiates
x12428541000033116,Turgeon 52.5micrograms/hour transdermal patches (Teva UK Ltd),,,buprenorphine,other_opiates
x12603641000033116,Carlosafine 52.5micrograms/hour transdermal patches (Glenmark Pharmaceuticals Europe Ltd),,,buprenorphine,other_opiates
x2737641000033112,Buprenorphine 52.5micrograms/hour transdermal patches,,,buprenorphine,other_opiates
x2737941000033117,Transtec 52.5micrograms/hour transdermal patches (Napp Pharmaceuticals Ltd),,,buprenorphine,other_opiates
x8882941000033118,Hapoctasin 70micrograms/hour transdermal patches (Actavis UK Ltd),,,buprenorphine,other_opiates
x11484541000033117,Bupeaze 70micrograms/hour transdermal patches (Dr Reddy's Laboratories (UK) Ltd),,,buprenorphine,other_opiates
x11577241000033114,Prenotrix 70micrograms/hour transdermal patches (Genesis Pharmaceuticals Ltd),,,buprenorphine,other_opiates
x2737741000033115,Buprenorphine 70micrograms/hour transdermal patches,,,buprenorphine,other_opiates
x12603741000033113,Carlosafine 70micrograms/hour transdermal patches (Glenmark Pharmaceuticals Europe Ltd),,,buprenorphine,other_opiates
x12428641000033115,Turgeon 70micrograms/hour transdermal patches (Teva UK Ltd),,,buprenorphine,other_opiates
x12195141000033111,Relevtec 70micrograms/hour transdermal patches (Sandoz Ltd),,,buprenorphine,other_opiates
x11780841000033116,Buplast 70micrograms/hour transdermal patches (Mylan),,,buprenorphine,other_opiates
x2738041000033119,Transtec 70micrograms/hour transdermal patches (Napp Pharmaceuticals Ltd),,,buprenorphine,other_opiates
x1699841000033119,Temazepam 10mg/5ml oral solution sugar free,,,temazepam,benzodiazepine
x1462641000033113,Tramadol 100mg modified-release capsules,,,tramadol,other_opiates
x1549241000033116,Zamadol SR 100mg capsules (Meda Pharmaceuticals Ltd),,,tramadol,other_opiates
x4899241000033117,Maxitram SR 100mg capsules (Chiesi Ltd),,,tramadol,other_opiates
x4523141000033117,Tramquel SR 100mg capsules (Beechmere Pharmaceuticals Ltd),,,tramadol,other_opiates
x11567841000033116,Maneo 100mg modified-release tablets (Mylan),,,tramadol,other_opiates
x12350041000033118,Tilodol SR 100mg tablets (Sandoz Ltd),,,tramadol,other_opiates
x12346441000033111,Invodol SR 100mg tablets (Ennogen Healthcare Ltd),,,tramadol,other_opiates
x4824241000033110,Marol 100mg modified-release tablets (Teva UK Ltd),,,tramadol,other_opiates
x1462341000033117,Tramadol 100mg modified-release tablets,,,tramadol,other_opiates
x12389041000033115,Brimisol PR 100mg tablets (Bristol Laboratories Ltd),,,tramadol,other_opiates
x12353641000033115,Zytram SR 100mg tablets (Qdem Pharmaceuticals Ltd),,,tramadol,other_opiates
x3996441000033116,Tradorec XL 100mg tablets (Endo Ventures Ltd),,,tramadol,other_opiates
x4459341000033112,Tramulief SR 100mg tablets (Advanz Pharma),,,tramadol,other_opiates
x4424241000033116,Nobligan retard 100mg tablets (Grunenthal Ltd),,,tramadol,other_opiates
x4417741000033112,Zeridame SR 100mg tablets (Actavis UK Ltd),,,tramadol,other_opiates
x12346941000033118,Oldaram 100mg modified-release tablets (Ranbaxy (UK) Ltd),,,tramadol,other_opiates
x2078341000033117,Dromadol SR 100mg tablets (Teva UK Ltd),,,tramadol,other_opiates
x1564541000033112,Zydol SR 100mg tablets (Grunenthal Ltd),,,tramadol,other_opiates
x4028341000033114,Larapam SR 100mg tablets (Sandoz Ltd),,,tramadol,other_opiates
x3909541000033113,Mabron 100mg modified-release tablets (Morningside Healthcare Ltd),,,tramadol,other_opiates
x1459241000033110,Tramadol 100mg/2ml solution for injection ampoules,,,tramadol,other_opiates
x1713141000033115,Zamadol 100mg/2ml solution for injection ampoules (Meda Pharmaceuticals Ltd),,,tramadol,other_opiates
x1564441000033111,Zydol 100mg/2ml solution for injection ampoules (Grunenthal Ltd),,,tramadol,other_opiates
x1462741000033116,Tramadol 150mg modified-release capsules,,,tramadol,other_opiates
x1549341000033114,Zamadol SR 150mg capsules (Meda Pharmaceuticals Ltd),,,tramadol,other_opiates
x4899341000033110,Maxitram SR 150mg capsules (Chiesi Ltd),,,tramadol,other_opiates
x4523241000033112,Tramquel SR 150mg capsules (Beechmere Pharmaceuticals Ltd),,,tramadol,other_opiates
x4824341000033117,Marol 150mg modified-release tablets (Teva UK Ltd),,,tramadol,other_opiates
x12346641000033113,Invodol SR 150mg tablets (Ennogen Healthcare Ltd),,,tramadol,other_opiates
x12350141000033119,Tilodol SR 150mg tablets (Sandoz Ltd),,,tramadol,other_opiates
x11568141000033114,Maneo 150mg modified-release tablets (Mylan),,,tramadol,other_opiates
x1462441000033111,Tramadol 150mg modified-release tablets,,,tramadol,other_opiates
x12353741000033112,Zytram SR 150mg tablets (Qdem Pharmaceuticals Ltd),,,tramadol,other_opiates
x4417641000033115,Zeridame SR 150mg tablets (Actavis UK Ltd),,,tramadol,other_opiates
x4459441000033118,Tramulief SR 150mg tablets (Advanz Pharma),,,tramadol,other_opiates
x12347041000033117,Oldaram 150mg modified-release tablets (Ranbaxy (UK) Ltd),,,tramadol,other_opiates
x2078441000033111,Dromadol SR 150mg tablets (Teva UK Ltd),,,tramadol,other_opiates
x2183441000033116,Dromadol XL 150mg tablets (IVAX Pharmaceuticals UK Ltd),,,tramadol,other_opiates
x1564641000033113,Zydol SR 150mg tablets (Grunenthal Ltd),,,tramadol,other_opiates
x1850141000033116,Zydol XL 150mg tablets (Grunenthal Ltd),,,tramadol,other_opiates
x3909641000033114,Mabron 150mg modified-release tablets (Morningside Healthcare Ltd),,,tramadol,other_opiates
x3344141000033117,Zamadol 24hr 150mg modified-release tablets (Meda Pharmaceuticals Ltd),,,tramadol,other_opiates
x4028541000033119,Larapam SR 150mg tablets (Sandoz Ltd),,,tramadol,other_opiates
x1462841000033114,Tramadol 200mg modified-release capsules,,,tramadol,other_opiates
x1549441000033115,Zamadol SR 200mg capsules (Meda Pharmaceuticals Ltd),,,tramadol,other_opiates
x4899441000033116,Maxitram SR 200mg capsules (Chiesi Ltd),,,tramadol,other_opiates
x4523341000033119,Tramquel SR 200mg capsules (Beechmere Pharmaceuticals Ltd),,,tramadol,other_opiates
x11568441000033118,Maneo 200mg modified-release tablets (Mylan),,,tramadol,other_opiates
x12350241000033114,Tilodol SR 200mg tablets (Sandoz Ltd),,,tramadol,other_opiates
x12346741000033116,Invodol SR 200mg tablets (Ennogen Healthcare Ltd),,,tramadol,other_opiates
x4824441000033111,Marol 200mg modified-release tablets (Teva UK Ltd),,,tramadol,other_opiates
x1462541000033112,Tramadol 200mg modified-release tablets,,,tramadol,other_opiates
x12353841000033119,Zytram SR 200mg tablets (Qdem Pharmaceuticals Ltd),,,tramadol,other_opiates
x3996541000033115,Tradorec XL 200mg tablets (Endo Ventures Ltd),,,tramadol,other_opiates
x4459541000033117,Tramulief SR 200mg tablets (Advanz Pharma),,,tramadol,other_opiates
x4417541000033116,Zeridame SR 200mg tablets (Actavis UK Ltd),,,tramadol,other_opiates
x12347141000033118,Oldaram 200mg modified-release tablets (Ranbaxy (UK) Ltd),,,tramadol,other_opiates
x1850241000033111,Zydol XL 200mg tablets (Grunenthal Ltd),,,tramadol,other_opiates
x2183541000033115,Dromadol XL 200mg tablets (IVAX Pharmaceuticals UK Ltd),,,tramadol,other_opiates
x2078541000033112,Dromadol SR 200mg tablets (Teva UK Ltd),,,tramadol,other_opiates
x1564741000033116,Zydol SR 200mg tablets (Grunenthal Ltd),,,tramadol,other_opiates
x4028641000033118,Larapam SR 200mg tablets (Sandoz Ltd),,,tramadol,other_opiates
x3344241000033112,Zamadol 24hr 200mg modified-release tablets (Meda Pharmaceuticals Ltd),,,tramadol,other_opiates
x3909741000033117,Mabron 200mg modified-release tablets (Morningside Healthcare Ltd),,,tramadol,other_opiates
x1849941000033112,Tramadol 300mg modified-release tablets,,,tramadol,other_opiates
x3344341000033119,Zamadol 24hr 300mg modified-release tablets (Meda Pharmaceuticals Ltd),,,tramadol,other_opiates
x2183641000033119,Dromadol XL 300mg tablets (IVAX Pharmaceuticals UK Ltd),,,tramadol,other_opiates
x1850341000033118,Zydol XL 300mg tablets (Grunenthal Ltd),,,tramadol,other_opiates
x3996641000033119,Tradorec XL 300mg tablets (Endo Ventures Ltd),,,tramadol,other_opiates
x1850041000033115,Tramadol 400mg modified-release tablets,,,tramadol,other_opiates
x2183741000033111,Dromadol XL 400mg tablets (IVAX Pharmaceuticals UK Ltd),,,tramadol,other_opiates
x1850441000033112,Zydol XL 400mg tablets (Grunenthal Ltd),,,tramadol,other_opiates
x3344441000033113,Zamadol 24hr 400mg modified-release tablets (Meda Pharmaceuticals Ltd),,,tramadol,other_opiates
x2078141000033115,Tramadol 75mg modified-release tablets,,,tramadol,other_opiates
x12353941000033110,Zytram SR 75mg tablets (Qdem Pharmaceuticals Ltd),,,tramadol,other_opiates
x2078241000033110,Dromadol SR 75mg tablets (IVAX Pharmaceuticals UK Ltd),,,tramadol,other_opiates
x1462941000033118,Tramadol 50mg modified-release capsules,,,tramadol,other_opiates
x1549541000033119,Zamadol SR 50mg capsules (Meda Pharmaceuticals Ltd),,,tramadol,other_opiates
x4523041000033116,Tramquel SR 50mg capsules (Beechmere Pharmaceuticals Ltd),,,tramadol,other_opiates
x4899141000033112,Maxitram SR 50mg capsules (Chiesi Ltd),,,tramadol,other_opiates
x2099741000033118,Opium tincture,,,morphine,other_opiates
x5836841000033111,Papaveretum 15.4mg/1ml / Hyoscine hydrobromide 400micrograms/1ml solution for injection ampoules,,,papaveretum,other_opiates
x2944241000033114,Pentazocine 30mg/1ml solution for injection ampoules,,,pentazocine,other_opiates
x2944141000033119,Fortral 30mg/1ml solution for injection ampoules (Zentiva),,,pentazocine,other_opiates
x1051641000033117,Pentazocine 60mg/2ml solution for injection ampoules,,,pentazocine,other_opiates
x2944341000033116,Fortral 60mg/2ml solution for injection ampoules (Zentiva),,,pentazocine,other_opiates
x2924441000033112,Pethidine 100mg/10ml solution for injection ampoules,,,pethidine,other_opiates
x2924741000033117,Pethidine 100mg/2ml solution for injection ampoules,,,pethidine,other_opiates
x2924641000033114,Pethidine 50mg/1ml solution for injection ampoules,,,pethidine,other_opiates
x2924541000033113,Pethidine 50mg/5ml solution for injection ampoules,,,pethidine,other_opiates
x2661441000033119,Synastone 50mg/5ml solution for injection ampoules (Auden McKenzie (Pharma Division) Ltd),,,methadone,oat
x1977841000033116,Methadone 50mg/5ml solution for injection ampoules,,,methadone,oat
x2069241000033110,Physeptone 50mg/5ml solution for injection ampoules (Martindale Pharmaceuticals Ltd),,,methadone,oat
x849241000033115,Lofepramine 70mg/5ml oral suspension sugar free,,,lofepramine,antidepressant
x2078841000033114,Lomont 70mg/5ml oral suspension (Rosemont Pharmaceuticals Ltd),,,lofepramine,antidepressant
x844141000033111,Lorazepam 4mg/1ml solution for injection ampoules,,,lorazepam,benzodiazepine
x88941000033110,Ativan 4mg/1ml solution for injection ampoules (Pfizer Ltd),,,lorazepam,benzodiazepine
x3229141000033111,Ibuprofen 300mg modified-release / Codeine 20mg tablets,,,codeine,other_opiates
x336741000033117,Codafen Continus tablets (Napp Pharmaceuticals Ltd),,,codeine,other_opiates
x5328741000033117,Imipramine 25mg/5ml oral solution,,,imipramine,antidepressant
x1449441000033113,Tofranil 25mg/5ml syrup (Novartis Pharmaceuticals UK Ltd),,,imipramine,antidepressant
x5009041000033116,Hydromorphone 10mg/1ml solution for injection ampoules,,,hydromorphone,other_opiates
x11749641000033118,Palladone 10mg/1ml solution for injection ampoules (Napp Pharmaceuticals Ltd),,,hydromorphone,other_opiates
x738241000033114,Hydromorphone 16mg modified-release capsules,,,hydromorphone,other_opiates
x1036641000033110,Palladone SR 16mg capsules (Napp Pharmaceuticals Ltd),,,hydromorphone,other_opiates
x738441000033110,Hydromorphone 24mg modified-release capsules,,,hydromorphone,other_opiates
x1036841000033111,Palladone SR 24mg capsules (Napp Pharmaceuticals Ltd),,,hydromorphone,other_opiates
x738341000033116,Hydromorphone 2mg modified-release capsules,,,hydromorphone,other_opiates
x1036741000033118,Palladone SR 2mg capsules (Napp Pharmaceuticals Ltd),,,hydromorphone,other_opiates
x11749441000033115,Hydromorphone 2mg/1ml solution for injection ampoules,,,hydromorphone,other_opiates
x11749541000033119,Palladone 2mg/1ml solution for injection ampoules (Napp Pharmaceuticals Ltd),,,hydromorphone,other_opiates
x738541000033111,Hydromorphone 4mg modified-release capsules,,,hydromorphone,other_opiates
x1036941000033115,Palladone SR 4mg capsules (Napp Pharmaceuticals Ltd),,,hydromorphone,other_opiates
x738641000033112,Hydromorphone 8mg modified-release capsules,,,hydromorphone,other_opiates
x1037041000033119,Palladone SR 8mg capsules (Napp Pharmaceuticals Ltd),,,hydromorphone,other_opiates
x3090541000033111,Flupentixol 50mg/0.5ml solution for injection ampoules,,,flupentixol,antidepressant
x420441000033119,Depixol Conc 50mg/0.5ml solution for injection ampoules (Lundbeck Ltd),,,flupentixol,antidepressant
x8540041000033111,Psytixol 50mg/0.5ml solution for injection ampoules (Mylan),,,flupentixol,antidepressant
x2913641000033119,Gabapentin 600mg tablets and Gabapentin 300mg capsules,,,gabapentin,gabapentinoids
x3090641000033112,Flupentixol 100mg/1ml solution for injection ampoules,,,flupentixol,antidepressant
x423041000033115,Depixol Conc 100mg/1ml solution for injection ampoules (Lundbeck Ltd),,,flupentixol,antidepressant
x3090741000033115,Flupentixol 200mg/1ml solution for injection ampoules,,,flupentixol,antidepressant
x419941000033113,Depixol Low Volume 200mg/1ml solution for injection ampoules (Lundbeck Ltd),,,flupentixol,antidepressant
x3090841000033113,Flupentixol 20mg/1ml solution for injection ampoules,,,flupentixol,antidepressant
x422941000033113,Depixol 20mg/1ml solution for injection ampoules (Lundbeck Ltd),,,flupentixol,antidepressant
x3090941000033117,Flupentixol 40mg/2ml solution for injection ampoules,,,flupentixol,antidepressant
x420141000033110,Depixol 40mg/2ml solution for injection ampoules (Lundbeck Ltd),,,flupentixol,antidepressant
x450641000033118,Dihydrocodeine 50mg/1ml solution for injection ampoules,,,codeine,other_opiates
x285741000033111,Clomipramine 75mg modified-release tablets,,,clomipramine,antidepressant
x70241000033114,Anafranil SR 75mg tablets (Novartis Pharmaceuticals UK Ltd),,,clomipramine,antidepressant
x332141000033117,Codeine 60mg/1ml solution for injection ampoules,,,codeine,other_opiates
x2086141000033111,Codeine phosphate powder,,,codeine,other_opiates
x3033041000033117,Diazepam 10mg/2ml emulsion for injection ampoules,,,diazepam,benzodiazepine
x446441000033119,Diazemuls 10mg/2ml emulsion for injection ampoules (Accord Healthcare Ltd),,,diazepam,benzodiazepine
x3033141000033118,Diazepam 10mg/2ml solution for injection ampoules,,,diazepam,benzodiazepine
x442841000033115,Dihydrocodeine 10mg/5ml oral solution,,,codeine,other_opiates
x2925141000033115,Fentanyl 100micrograms/2ml solution for injection ampoules,,,fentanyl,other_opiates
x2925241000033110,Sublimaze 100micrograms/2ml solution for injection ampoules (Janssen-Cilag Ltd),,,fentanyl,other_opiates
x9204641000033111,Mylafent 100micrograms/hour transdermal patches (Mylan),,,fentanyl,other_opiates
x6441141000033115,Fencino 100micrograms/hour transdermal patches (Ethypharm UK Ltd),,,fentanyl,other_opiates
x10597841000033112,Yemex 100micrograms/hour transdermal patches (Sandoz Ltd),,,fentanyl,other_opiates
x574941000033113,Fentanyl 100micrograms/hour transdermal patches,,,fentanyl,other_opiates
x8884341000033111,Opiodur 100micrograms/hour transdermal patches (RX Farma),,,fentanyl,other_opiates
x490241000033114,Durogesic 100micrograms transdermal patches (Janssen-Cilag Ltd),,,fentanyl,other_opiates
x3248341000033116,Durogesic DTrans 100micrograms transdermal patches (Janssen-Cilag Ltd),,,fentanyl,other_opiates
x3333141000033119,Tilofyl 100micrograms/hour transdermal patches (Tillomed Laboratories Ltd),,,fentanyl,other_opiates
x4386941000033118,Mezolar Matrix 100micrograms/hour transdermal patches (Sandoz Ltd),,,fentanyl,other_opiates
x4426041000033116,Fentalis Reservoir 100micrograms/hour transdermal patches (Sandoz Ltd),,,fentanyl,other_opiates
x4503141000033112,Osmach 100micrograms/hour transdermal patches (Ratiopharm UK Ltd),,,fentanyl,other_opiates
x4023041000033118,Matrifen 100micrograms/hour transdermal patches (Teva UK Ltd),,,fentanyl,other_opiates
x4956341000033116,Osmanil 100micrograms/hour transdermal patches (Zentiva),,,fentanyl,other_opiates
x5007341000033110,Victanyl 100micrograms/hour transdermal patches (Actavis UK Ltd),,,fentanyl,other_opiates
x10598141000033119,Yemex 25micrograms/hour transdermal patches (Sandoz Ltd),,,fentanyl,other_opiates
x6440841000033116,Fencino 25micrograms/hour transdermal patches (Ethypharm UK Ltd),,,fentanyl,other_opiates
x10336841000033116,Mylafent 25micrograms/hour transdermal patches (Mylan),,,fentanyl,other_opiates
x8884541000033116,Opiodur 25micrograms/hour transdermal patches (RX Farma),,,fentanyl,other_opiates
x575041000033113,Fentanyl 25micrograms/hour transdermal patches,,,fentanyl,other_opiates
x5007441000033116,Victanyl 25micrograms/hour transdermal patches (Actavis UK Ltd),,,fentanyl,other_opiates
x4956041000033118,Osmanil 25micrograms/hour transdermal patches (Zentiva),,,fentanyl,other_opiates
x4022741000033113,Matrifen 25micrograms/hour transdermal patches (Teva UK Ltd),,,fentanyl,other_opiates
x4502841000033111,Osmach 25micrograms/hour transdermal patches (Teva UK Ltd),,,fentanyl,other_opiates
x4426341000033119,Fentalis Reservoir 25micrograms/hour transdermal patches (Sandoz Ltd),,,fentanyl,other_opiates
x4387041000033117,Mezolar Matrix 25micrograms/hour transdermal patches (Sandoz Ltd),,,fentanyl,other_opiates
x3333041000033118,Tilofyl 25micrograms/hour transdermal patches (Tillomed Laboratories Ltd),,,fentanyl,other_opiates
x3248041000033118,Durogesic DTrans 25micrograms transdermal patches (Janssen-Cilag Ltd),,,fentanyl,other_opiates
x490341000033116,Durogesic 25micrograms transdermal patches (Janssen-Cilag Ltd),,,fentanyl,other_opiates
x567341000033114,Fentanyl 500micrograms/10ml solution for injection ampoules,,,fentanyl,other_opiates
x1391341000033118,Sublimaze 500micrograms/10ml solution for injection ampoules (Piramal Critical Care Ltd),,,fentanyl,other_opiates
x9204441000033114,Mylafent 50micrograms/hour transdermal patches (Mylan),,,fentanyl,other_opiates
x6440941000033112,Fencino 50micrograms/hour transdermal patches (Ethypharm UK Ltd),,,fentanyl,other_opiates
x10598041000033118,Yemex 50micrograms/hour transdermal patches (Sandoz Ltd),,,fentanyl,other_opiates
x575141000033112,Fentanyl 50micrograms/hour transdermal patches,,,fentanyl,other_opiates
x8884641000033115,Opiodur 50micrograms/hour transdermal patches (RX Farma),,,fentanyl,other_opiates
x490441000033110,Durogesic 50micrograms transdermal patches (Janssen-Cilag Ltd),,,fentanyl,other_opiates
x3248141000033119,Durogesic DTrans 50micrograms transdermal patches (Janssen-Cilag Ltd),,,fentanyl,other_opiates
x3332941000033111,Tilofyl 50micrograms/hour transdermal patches (Tillomed Laboratories Ltd),,,fentanyl,other_opiates
x4386741000033116,Mezolar Matrix 50micrograms/hour transdermal patches (Sandoz Ltd),,,fentanyl,other_opiates
x4426241000033112,Fentalis Reservoir 50micrograms/hour transdermal patches (Sandoz Ltd),,,fentanyl,other_opiates
x4502941000033115,Osmach 50micrograms/hour transdermal patches (Teva UK Ltd),,,fentanyl,other_opiates
x4022841000033115,Matrifen 50micrograms/hour transdermal patches (Teva UK Ltd),,,fentanyl,other_opiates
x4956141000033119,Osmanil 50micrograms/hour transdermal patches (Zentiva),,,fentanyl,other_opiates
x5007541000033115,Victanyl 50micrograms/hour transdermal patches (Actavis UK Ltd),,,fentanyl,other_opiates
x10597941000033116,Yemex 75micrograms/hour transdermal patches (Sandoz Ltd),,,fentanyl,other_opiates
x6441041000033119,Fencino 75micrograms/hour transdermal patches (Ethypharm UK Ltd),,,fentanyl,other_opiates
x9204541000033110,Mylafent 75micrograms/hour transdermal patches (Mylan),,,fentanyl,other_opiates
x8884741000033112,Opiodur 75micrograms/hour transdermal patches (RX Farma),,,fentanyl,other_opiates
x575241000033117,Fentanyl 75micrograms/hour transdermal patches,,,fentanyl,other_opiates
x5007241000033117,Victanyl 75micrograms/hour transdermal patches (Actavis UK Ltd),,,fentanyl,other_opiates
x4956241000033114,Osmanil 75micrograms/hour transdermal patches (Zentiva),,,fentanyl,other_opiates
x4022941000033111,Matrifen 75micrograms/hour transdermal patches (Teva UK Ltd),,,fentanyl,other_opiates
x4503041000033113,Osmach 75micrograms/hour transdermal patches (Teva UK Ltd),,,fentanyl,other_opiates
x4426141000033117,Fentalis Reservoir 75micrograms/hour transdermal patches (Sandoz Ltd),,,fentanyl,other_opiates
x4386841000033114,Mezolar Matrix 75micrograms/hour transdermal patches (Sandoz Ltd),,,fentanyl,other_opiates
x3332841000033115,Tilofyl 75micrograms/hour transdermal patches (Tillomed Laboratories Ltd),,,fentanyl,other_opiates
x3248241000033114,Durogesic DTrans 75micrograms transdermal patches (Janssen-Cilag Ltd),,,fentanyl,other_opiates
x490541000033111,Durogesic 75micrograms transdermal patches (Janssen-Cilag Ltd),,,fentanyl,other_opiates
x2069441000033111,Methadone 10mg/1ml solution for injection ampoules,,,methadone,oat
x2069341000033117,Physeptone 10mg/1ml solution for injection ampoules (Martindale Pharmaceuticals Ltd),,,methadone,oat
x2661141000033110,Synastone 10mg/1ml solution for injection ampoules (Auden McKenzie (Pharma Division) Ltd),,,methadone,oat
x1655941000033119,Methadone 10mg/ml oral solution sugar free,,,methadone,oat
x1655741000033117,Methadose 10mg/ml oral solution concentrate (Rosemont Pharmaceuticals Ltd),,,methadone,oat
x888541000033115,Methadone 1mg/ml oral solution,,,methadone,oat
x2957241000033118,Physeptone 1mg/ml mixture (Martindale Pharmaceuticals Ltd),,,methadone,oat
x4268141000033110,Eptadone 1mg/ml oral solution (Dee Pharmaceuticals Ltd),,,methadone,oat
x2003041000033115,Methadone 1mg/ml oral solution sugar free,,,methadone,oat
x2103941000033113,Metharose 1mg/ml oral solution sugar free (Rosemont Pharmaceuticals Ltd),,,methadone,oat
x2957141000033113,Physeptone 1mg/ml oral solution sugar free (Martindale Pharmaceuticals Ltd),,,methadone,oat
x1977541000033118,Methadone 20mg/2ml solution for injection ampoules,,,methadone,oat
x2069041000033119,Physeptone 20mg/2ml solution for injection ampoules (Martindale Pharmaceuticals Ltd),,,methadone,oat
